x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy,subset_rx,subset_ry,
890.00000000,745.00000000,229.57510376,-2.83106446,229.43634033,-2.85846829,0.99040842,2.00000000,1.00000000,19.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
895.00000000,745.00000000,229.53201294,-2.83305478,229.47248840,-2.88754153,0.98996121,2.00000000,1.00000000,18.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
900.00000000,745.00000000,229.52593994,-2.82641435,229.48802185,-2.82276201,0.98948163,2.00000000,1.00000000,18.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
905.00000000,745.00000000,229.48872375,-2.82824659,229.40362549,-2.87333941,0.99077892,2.00000000,1.00000000,21.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
910.00000000,745.00000000,229.45129395,-2.84056234,229.33517456,-2.80786085,0.99123996,2.00000000,1.00000000,23.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
915.00000000,745.00000000,229.41865540,-2.84548259,229.29067993,-2.78344464,0.99139136,2.00000000,1.00000000,25.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
920.00000000,745.00000000,229.40414429,-2.86398673,229.25881958,-2.81309009,0.99192017,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
925.00000000,745.00000000,229.36358643,-2.86489034,229.18531799,-2.85572243,0.99164933,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
930.00000000,745.00000000,229.31684875,-2.86298251,229.16648865,-2.86476755,0.99190629,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
935.00000000,745.00000000,229.27076721,-2.85994434,229.14407349,-2.85892367,0.99187392,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
940.00000000,745.00000000,229.26835632,-2.84735465,229.07232666,-2.90040469,0.99160856,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
945.00000000,745.00000000,229.26199341,-2.84544396,229.12568665,-2.93345857,0.99139017,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
950.00000000,745.00000000,229.24084473,-2.83890772,229.05834961,-2.88588452,0.99091387,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
955.00000000,745.00000000,229.21459961,-2.83737111,229.02871704,-2.88345957,0.99025273,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
960.00000000,745.00000000,229.18275452,-2.83939838,228.91122437,-2.84018350,0.99011320,2.00000000,1.00000000,22.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
965.00000000,745.00000000,229.14643860,-2.82703567,228.95564270,-2.88452697,0.99007994,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
970.00000000,745.00000000,229.07752991,-2.83041000,228.95214844,-2.97347260,0.99031663,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
975.00000000,745.00000000,229.09646606,-2.82503033,229.03477478,-2.90691209,0.99020404,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
980.00000000,745.00000000,229.04118347,-2.81873178,229.03701782,-2.91912508,0.99089068,2.00000000,1.00000000,24.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
985.00000000,745.00000000,229.04650879,-2.82499409,228.85755920,-2.90598202,0.99146408,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
990.00000000,745.00000000,229.01971436,-2.83394194,228.89389038,-2.79155779,0.99093163,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
995.00000000,745.00000000,228.99481201,-2.84789109,228.86404419,-2.84770226,0.99134588,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1000.00000000,745.00000000,229.01406860,-2.85635972,228.82299805,-2.80228543,0.99261045,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1005.00000000,745.00000000,228.99615479,-2.85155535,228.81428528,-2.80956483,0.99252069,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1010.00000000,745.00000000,228.94068909,-2.84931660,228.77624512,-2.80152321,0.99323130,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1015.00000000,745.00000000,228.91098022,-2.85023260,228.84057617,-2.80460072,0.99348515,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1020.00000000,745.00000000,228.84588623,-2.84615445,229.95889282,-3.05135131,0.99367911,5.00000000,1.00000000,9.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1025.00000000,745.00000000,228.83435059,-2.84734011,228.79029846,-2.81289458,0.99361855,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1030.00000000,745.00000000,228.82531738,-2.84356165,228.72781372,-2.81799984,0.99363238,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1035.00000000,745.00000000,228.79837036,-2.84093499,228.63766479,-2.85706639,0.99365067,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1040.00000000,745.00000000,228.73347473,-2.83196878,228.46922302,-2.91687226,0.99359339,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1045.00000000,745.00000000,228.69375610,-2.82550526,228.53767395,-2.86660385,0.99302226,2.00000000,1.00000000,26.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1050.00000000,745.00000000,228.67620850,-2.82732558,228.42387390,-2.91592908,0.99222761,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1055.00000000,745.00000000,228.65330505,-2.83099794,228.38136292,-2.88648629,0.99187213,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1060.00000000,745.00000000,228.63366699,-2.81957603,228.29838562,-2.89427543,0.99225932,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1065.00000000,745.00000000,228.61640930,-2.80693054,228.40711975,-2.85558987,0.99197769,2.00000000,1.00000000,24.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1070.00000000,745.00000000,228.60066223,-2.81105614,228.54263306,-2.74028993,0.99164820,2.00000000,1.00000000,22.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1075.00000000,745.00000000,228.54800415,-2.81304646,228.41616821,-2.76537752,0.99155170,2.00000000,1.00000000,26.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1080.00000000,745.00000000,228.50993347,-2.81468558,228.36621094,-2.80445075,0.99180645,2.00000000,1.00000000,24.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1085.00000000,745.00000000,228.50123596,-2.84035778,228.30416870,-2.82940531,0.99111533,2.00000000,1.00000000,22.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1090.00000000,745.00000000,228.47326660,-2.85138226,228.31306458,-2.84408164,0.99191558,2.00000000,1.00000000,20.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1095.00000000,745.00000000,228.44813538,-2.85523057,228.31297302,-2.85969353,0.99273252,2.00000000,1.00000000,22.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1100.00000000,745.00000000,228.40763855,-2.86364388,228.32197571,-2.83938313,0.99291408,2.00000000,1.00000000,20.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1105.00000000,745.00000000,228.36485291,-2.85322332,228.30397034,-2.78481603,0.99266714,2.00000000,1.00000000,21.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1110.00000000,745.00000000,228.34400940,-2.85706735,228.27523804,-2.79841733,0.99285477,2.00000000,1.00000000,25.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1115.00000000,745.00000000,228.30236816,-2.85780406,228.25151062,-2.80572820,0.99332446,2.00000000,1.00000000,26.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1120.00000000,745.00000000,228.26425171,-2.85870075,228.23310852,-2.84479737,0.99354833,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1125.00000000,745.00000000,228.24757385,-2.85786533,228.26528931,-2.98077726,0.99401569,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1130.00000000,745.00000000,228.22427368,-2.85178685,228.18959045,-2.97318125,0.99393559,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1135.00000000,745.00000000,228.20513916,-2.85172391,228.16947937,-2.97788811,0.99397624,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1140.00000000,745.00000000,228.17929077,-2.86170197,228.12944031,-2.98602509,0.99384809,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1145.00000000,745.00000000,228.16339111,-2.84651899,228.09530640,-2.42847061,0.99421042,4.00000000,1.00000000,16.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1150.00000000,745.00000000,228.14114380,-2.84190965,228.07920837,-2.87538242,0.99457705,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1155.00000000,745.00000000,228.10423279,-2.83598137,227.94345093,-2.94495702,0.99416882,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1160.00000000,745.00000000,228.06657410,-2.83417106,227.96156311,-2.90618634,0.99374384,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1165.00000000,745.00000000,228.02990723,-2.83527541,227.92971802,-2.92730761,0.99326581,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1170.00000000,745.00000000,227.98904419,-2.83211827,227.76809692,-2.82593989,0.99338353,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1175.00000000,745.00000000,227.96699524,-2.83568168,227.93156433,-2.87557244,0.99336767,2.00000000,1.00000000,25.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1180.00000000,745.00000000,227.93386841,-2.82860422,227.85707092,-2.84769297,0.99293602,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1185.00000000,745.00000000,227.91949463,-2.82579088,227.88789368,-2.82941222,0.99258435,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1190.00000000,745.00000000,227.88743591,-2.82212067,227.82923889,-2.82271099,0.99217713,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1195.00000000,745.00000000,227.86439514,-2.82153678,227.79808044,-2.82633424,0.99210995,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1200.00000000,745.00000000,227.83337402,-2.82393217,227.81463623,-2.78764486,0.99300969,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1205.00000000,745.00000000,227.79251099,-2.83244348,227.78341675,-2.91622567,0.99340791,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1210.00000000,745.00000000,227.75846863,-2.84300303,227.78109741,-2.91169834,0.99397391,2.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1215.00000000,745.00000000,227.71444702,-2.85402465,227.63255310,-2.88667417,0.99403739,2.00000000,1.00000000,24.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1220.00000000,745.00000000,227.68560791,-2.85475016,227.67187500,-2.86120105,0.99427009,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
