Left_x,Left_y,Right_x,Right_y,X,Y,Z,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,exx,eyy,ezz,exy,eyz,ezx,
1369.14404297,500.64199829,1332.65332031,524.34613037,28.58300781,-21.36084747,807.74792480,31.02747345,-0.40522194,5.01196289,0.00000000,0.95308715,0.96717626,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1374.16076660,500.66860962,1337.69323730,524.36688232,28.86812401,-21.36108017,807.78479004,31.03198624,-0.40372086,5.01660156,0.00000000,0.95520329,0.96725118,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1379.17919922,500.69039917,1342.78161621,524.52215576,29.15373421,-21.35785103,807.82977295,31.03695869,-0.39973640,5.02423096,0.00000000,0.95578134,0.96635658,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1384.08471680,500.72326660,1347.86474609,524.56036377,29.43361855,-21.35805702,807.89373779,31.03615952,-0.39960289,5.05700684,0.00000000,0.95690298,0.96592975,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1388.92517090,500.69229126,1352.78320312,524.53363037,29.70916939,-21.36143303,807.93878174,31.03106880,-0.40041542,5.04852295,0.00000000,0.95459127,0.96295196,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1393.73168945,500.66003418,1357.64331055,524.48400879,29.98264503,-21.36536598,807.97894287,31.02382469,-0.40334129,5.04577637,0.00000000,0.95410401,0.96758986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1398.70922852,500.66693115,1362.80163574,524.55499268,30.26677513,-21.36540031,808.04321289,31.02719116,-0.40255356,5.08532715,0.00000000,0.95674968,0.96633744,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1403.60229492,500.65399170,1367.68701172,524.51269531,30.54479599,-21.36832619,808.07238770,31.02445412,-0.40330696,5.07122803,0.00000000,0.95610410,0.96896780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1408.67846680,500.66232300,1372.74560547,524.51959229,30.83318329,-21.36926651,808.10064697,31.03203583,-0.40287971,5.05023193,0.00000000,0.96042424,0.97262371,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1413.65917969,500.65896606,1377.49731445,524.47332764,31.11465073,-21.37106514,808.08941650,31.03266525,-0.40369034,5.01293945,0.00000000,0.96188194,0.97359645,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
