x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy,subset_rx,subset_ry,
90.00000000,85.00000000,-0.00000127,0.00000163,-0.00000132,0.00000120,1.00000191,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
95.00000000,85.00000000,0.00000029,-0.00000004,0.00000029,-0.00000004,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
100.00000000,85.00000000,0.00000005,-0.00000059,-0.00000019,0.00000116,1.00000930,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
105.00000000,85.00000000,-0.00000015,0.00000003,-0.00000015,0.00000003,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
110.00000000,85.00000000,-0.00000054,-0.00000088,-0.00000053,-0.00000088,1.00000072,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
115.00000000,85.00000000,-0.00000052,0.00000156,-0.00000041,0.00000124,1.00000083,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
120.00000000,85.00000000,0.00000031,-0.00000024,0.00000032,-0.00000020,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
125.00000000,85.00000000,-0.00000139,-0.00000059,-0.00000139,-0.00000059,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
130.00000000,85.00000000,-0.00000078,0.00000015,-0.00000078,0.00000015,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
135.00000000,85.00000000,-0.00000119,-0.00000015,-0.00000119,-0.00000015,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
140.00000000,85.00000000,-0.00000002,0.00000008,-0.00000002,0.00000008,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
145.00000000,85.00000000,-0.00000011,0.00000002,-0.00000011,0.00000002,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
150.00000000,85.00000000,0.00000033,-0.00000001,0.00000033,-0.00000001,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
155.00000000,85.00000000,0.00000196,-0.00000003,0.00000196,-0.00000003,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
160.00000000,85.00000000,-0.00000053,0.00000021,-0.00000053,0.00000021,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
165.00000000,85.00000000,0.00000018,-0.00000005,0.00000018,-0.00000005,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
170.00000000,85.00000000,0.00000047,0.00000071,0.00000029,0.00000131,1.00001168,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
175.00000000,85.00000000,-0.00000018,0.00000056,-0.00000018,0.00000056,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
180.00000000,85.00000000,0.00000060,0.00000023,0.00000060,0.00000024,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
185.00000000,85.00000000,0.00000418,-0.00000037,0.00000329,-0.00000036,1.00000048,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
190.00000000,85.00000000,-0.00000020,0.00000005,-0.00000020,0.00000005,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
195.00000000,85.00000000,-0.00000038,0.00000009,-0.00000038,0.00000009,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
200.00000000,85.00000000,-0.00000004,0.00000030,-0.00000004,0.00000030,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
205.00000000,85.00000000,-0.00000001,-0.00000016,-0.00000003,-0.00000014,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
210.00000000,85.00000000,-0.00000140,0.00000001,-0.00000140,0.00000001,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
215.00000000,85.00000000,-0.00000054,0.00000014,-0.00000054,0.00000015,1.00000012,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
220.00000000,85.00000000,0.00000158,0.00000040,0.00000158,0.00000040,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
225.00000000,85.00000000,0.00000039,-0.00000040,0.00000063,-0.00000000,1.00000262,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
230.00000000,85.00000000,0.00000015,0.00000023,0.00000015,0.00000023,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
235.00000000,85.00000000,0.00000003,-0.00000015,0.00000004,-0.00000015,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
240.00000000,85.00000000,-0.00000021,0.00000005,-0.00000021,0.00000005,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
245.00000000,85.00000000,0.00000280,-0.00000022,0.00000280,-0.00000022,1.00000000,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
